expiry,date,cfg,dte,spot,credit,sc_d,sp_d,lc_d,lp_d,call_width,put_width,pnl_pts,max_dd_pts,gross,slip,stat,buy_turn,sell_turn,net,maxloss,year
20230316,2023-03-15,0.25/0.1,1.24,39698.6,99.55,0.243,-0.235,0.097,-0.102,400,400,-65.85000000000004,-66.09999999999998,-19755.00000000001,794.91502413906,337.9540066,94800.0,75045.0,-20887.86903073907,90135.0,2023
20230420,2023-04-17,0.35/0.15,3.24,42118.65,222.2,0.348,-0.367,0.159,-0.142,400,600,34.09999999999994,-32.70000000000002,10229.999999999982,1066.0136586813169,412.3071784,115650.0,125879.99999999999,8751.679162918665,113340.0,2023
20230420,2023-04-17,0.25/0.1,3.24,42118.65,122.09999999999998,0.241,-0.233,0.102,-0.102,400,500,22.700000000000003,-15.600000000000037,6810.000000000001,621.6889579094023,319.938706,67320.0,74130.0,5868.372336090599,113370.00000000001,2023
20230420,2023-04-18,0.35/0.15,2.24,42395.75,147.40000000000003,0.352,-0.341,0.167,-0.144,300,400,13.600000000000051,-29.64999999999992,4080.0000000000155,288.0041215649814,352.7807296,87120.0,91200.00000000001,3439.215148835034,75779.99999999999,2023
20230420,2023-04-18,0.25/0.1,2.24,42395.75,104.8,0.28,-0.224,0.096,-0.094,400,400,19.25,-16.549999999999997,5775.0,187.77346568626692,292.75398640000003,53115.0,58889.99999999999,5294.472547913733,88560.0,2023
20230420,2023-04-19,0.35/0.15,1.24,42290.2,98.79999999999998,0.303,-0.322,0.152,-0.147,200,300,-3.8499999999999943,-21.750000000000043,-1154.9999999999982,256.65975110155233,311.5584622,68010.0,66855.0,-1723.2182133015503,60360.00000000001,2023
20230420,2023-04-19,0.25/0.1,1.24,42290.2,68.7,0.219,-0.25,0.104,-0.112,200,300,-2.250000000000014,-19.950000000000003,-675.0000000000043,161.17633251158964,274.5419884,47415.0,46740.0,-1110.718320911594,69390.0,2023
20230601,2023-05-26,0.35/0.15,6.24,43688.2,198.55,0.347,-0.328,0.164,-0.147,400,500,-19.350000000000023,-27.049999999999983,-5805.000000000007,658.1896860497853,446.90040339999996,145230.0,139425.0,-6910.090089449793,90435.0,2023
20230601,2023-05-26,0.25/0.1,6.24,43688.2,129.04999999999998,0.244,-0.242,0.106,-0.105,400,500,-22.849999999999994,-32.55000000000004,-6854.999999999998,421.8023844646529,355.48345659999995,95850.0,88995.0,-7632.285841064651,111285.00000000001,2023
20230601,2023-05-29,0.35/0.15,3.24,44420.7,167.7,0.317,-0.356,0.156,-0.155,300,500,9.299999999999983,-1.0500000000000114,2789.999999999995,282.33561925971367,382.682995,104355.0,107145.0,2124.9813857402814,99690.0,2023
20230601,2023-05-29,0.25/0.1,3.24,44420.7,128.8,0.253,-0.257,0.092,-0.093,400,600,14.700000000000017,-0.24999999999997158,4410.0000000000055,171.34605116878973,314.87074540000003,66135.0,70545.0,3923.7832034312155,141360.0,2023
20230601,2023-05-30,0.35/0.15,2.24,44401.25,143.85,0.345,-0.339,0.148,-0.146,300,400,20.400000000000006,-5.199999999999989,6120.000000000002,213.3533513406896,336.6016053999999,76905.0,83025.0,5570.0450432593125,76845.0,2023
20230601,2023-05-30,0.25/0.1,2.24,44401.25,91.15,0.267,-0.225,0.11,-0.097,300,400,18.650000000000006,0.0,5595.000000000002,153.74074437886162,283.499614,48165.0,53760.0,5157.75964162114,92655.0,2023
20230601,2023-05-31,0.35/0.15,1.24,44092.85,126.19999999999999,0.322,-0.393,0.175,-0.131,200,400,5.8999999999999915,-50.950000000000045,1769.9999999999975,216.16143679981914,321.0681124,71280.0,73050.0,1232.7704508001784,82140.0,2023
20230601,2023-05-31,0.25/0.1,1.24,44092.85,75.30000000000001,0.242,-0.23,0.087,-0.101,300,300,15.500000000000007,-24.75,4650.000000000002,118.311214756666,264.5840728,38430.0,43080.0,4267.104712443335,67410.0,2023
20230713,2023-07-07,0.35/0.15,6.24,45174.3,196.29999999999995,0.331,-0.337,0.148,-0.156,400,500,17.599999999999966,-24.450000000000074,5279.99999999999,300.9480508925907,408.80818179999994,117015.0,122294.99999999997,4570.243767307399,91110.00000000001,2023
20230713,2023-07-07,0.25/0.1,6.24,45174.3,134.15,0.226,-0.252,0.095,-0.094,400,600,15.349999999999994,-33.89999999999998,4604.999999999998,243.5239253075075,325.86842620000004,72030.0,76635.0,4035.60764849249,139755.0,2023
