period,cond,q,h,nobs,excess,lo,hi,sig
2026 holdout,or_rel,0,15,135,-2.27,-7.41,3.23,False
2026 holdout,or_rel,1,15,123,0.99,-7.66,13.58,False
2026 holdout,or_rel,2,15,123,-0.24,-8.0,6.3,False
2026 holdout,or_rel,3,15,125,5.75,-1.9,12.4,False
2026 holdout,or_rel,4,15,124,-1.59,-7.92,4.58,False
2026 holdout,or_rel,0,30,130,-6.52,-13.87,0.89,False
2026 holdout,or_rel,1,30,122,6.18,-8.63,26.03,False
2026 holdout,or_rel,2,30,119,-6.15,-18.72,6.7,False
2026 holdout,or_rel,3,30,120,14.17,7.34,20.26,True
2026 holdout,or_rel,4,30,119,-0.07,-10.02,9.86,False
2026 holdout,or_rel,0,60,118,-11.23,-22.27,1.46,False
2026 holdout,or_rel,1,60,101,-3.32,-17.27,9.09,False
2026 holdout,or_rel,2,60,105,4.34,-36.28,46.78,False
2026 holdout,or_rel,3,60,102,13.3,-2.69,27.0,False
2026 holdout,or_rel,4,60,99,-10.58,-33.89,10.14,False
2026 holdout,gap_rel,0,15,126,0.2,-6.33,6.29,False
2026 holdout,gap_rel,1,15,134,-2.33,-9.74,5.99,False
2026 holdout,gap_rel,2,15,127,8.1,-1.42,19.11,False
2026 holdout,gap_rel,3,15,120,1.41,-3.6,6.56,False
2026 holdout,gap_rel,4,15,123,-4.9,-10.13,0.47,False
2026 holdout,gap_rel,0,30,122,2.04,-11.3,13.31,False
2026 holdout,gap_rel,1,30,131,0.05,-9.15,10.33,False
2026 holdout,gap_rel,2,30,122,12.88,-0.88,29.17,False
2026 holdout,gap_rel,3,30,115,2.94,-6.27,11.86,False
2026 holdout,gap_rel,4,30,120,-10.84,-19.14,-3.56,True
2026 holdout,gap_rel,0,60,107,14.74,-18.28,53.13,False
2026 holdout,gap_rel,1,60,112,-5.59,-13.86,2.18,False
2026 holdout,gap_rel,2,60,103,-3.19,-23.53,13.65,False
2026 holdout,gap_rel,3,60,102,-0.44,-18.19,18.07,False
2026 holdout,gap_rel,4,60,101,-14.58,-42.33,7.76,False
2026 holdout,day_move_sgn,0,15,736,1.19,-1.87,4.36,False
2026 holdout,day_move_sgn,0,30,713,2.3,-2.54,7.66,False
2026 holdout,day_move_sgn,0,60,617,-0.75,-10.25,9.5,False
2026 holdout,seq,0,15,156,-3.71,-8.84,1.34,False
2026 holdout,seq,1,15,156,1.08,-3.81,6.34,False
2026 holdout,seq,2,15,144,4.5,-1.99,13.92,False
2026 holdout,seq,3,15,161,1.95,-4.59,9.03,False
2026 holdout,seq,4,15,119,2.76,-4.97,10.87,False
2026 holdout,seq,0,30,156,-1.93,-9.03,4.62,False
2026 holdout,seq,1,30,155,1.18,-8.01,10.07,False
2026 holdout,seq,2,30,140,8.11,-2.28,21.41,False
2026 holdout,seq,3,30,152,3.56,-7.95,14.57,False
2026 holdout,seq,4,30,110,0.76,-10.7,11.89,False
2026 holdout,seq,0,60,156,-9.79,-21.77,0.8,False
2026 holdout,seq,1,60,148,4.14,-10.37,21.16,False
2026 holdout,seq,2,60,128,0.71,-13.26,14.31,False
2026 holdout,seq,3,60,127,5.05,-16.21,27.06,False
2026 holdout,seq,4,60,58,-4.77,-28.54,19.65,False
